Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Acinetobacter spp.","Imipenem","IND","India","South-East Asia Region",9946,7102,71.405590187
"Bloodstream","Acinetobacter spp.","Meropenem","IND","India","South-East Asia Region",7827,5394,68.915293216
"Bloodstream","Acinetobacter spp.","Minocycline","IND","India","South-East Asia Region",7839,2073,26.444699579
"Bloodstream","Acinetobacter spp.","Amikacin","IRL","Ireland","European Region",26,1,3.846153846
"Bloodstream","Acinetobacter spp.","Gentamicin","IRL","Ireland","European Region",56,0,0
"Bloodstream","Acinetobacter spp.","Imipenem","IRL","Ireland","European Region",12,0,0
"Bloodstream","Acinetobacter spp.","Meropenem","IRL","Ireland","European Region",51,0,0
"Bloodstream","Acinetobacter spp.","Amikacin","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",624,429,68.75
"Bloodstream","Acinetobacter spp.","Colistin","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",55,4,7.272727273
"Bloodstream","Acinetobacter spp.","Gentamicin","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",552,352,63.768115942
"Bloodstream","Acinetobacter spp.","Imipenem","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",511,425,83.170254403
"Bloodstream","Acinetobacter spp.","Meropenem","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",475,406,85.473684211
"Bloodstream","Acinetobacter spp.","Minocycline","IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",376,67,17.819148936
"Bloodstream","Acinetobacter spp.","Amikacin","IRQ","Iraq","Eastern Mediterranean Region",263,147,55.893536122
"Bloodstream","Acinetobacter spp.","Colistin","IRQ","Iraq","Eastern Mediterranean Region",242,17,7.024793388
"Bloodstream","Acinetobacter spp.","Gentamicin","IRQ","Iraq","Eastern Mediterranean Region",437,322,73.684210526
"Bloodstream","Acinetobacter spp.","Imipenem","IRQ","Iraq","Eastern Mediterranean Region",457,358,78.336980306
"Bloodstream","Acinetobacter spp.","Meropenem","IRQ","Iraq","Eastern Mediterranean Region",499,363,72.745490982
"Bloodstream","Acinetobacter spp.","Minocycline","IRQ","Iraq","Eastern Mediterranean Region",236,33,13.983050847
"Bloodstream","Acinetobacter spp.","Amikacin","ITA","Italy","European Region",1673,1118,66.826060968
"Bloodstream","Acinetobacter spp.","Colistin","ITA","Italy","European Region",1366,110,8.052708638
"Bloodstream","Acinetobacter spp.","Gentamicin","ITA","Italy","European Region",2651,1935,72.991324029
"Bloodstream","Acinetobacter spp.","Imipenem","ITA","Italy","European Region",1368,1095,80.043859649
"Bloodstream","Acinetobacter spp.","Meropenem","ITA","Italy","European Region",1690,1221,72.24852071
"Bloodstream","Acinetobacter spp.","Amikacin","JOR","Jordan","Eastern Mediterranean Region",330,212,64.242424242
"Bloodstream","Acinetobacter spp.","Colistin","JOR","Jordan","Eastern Mediterranean Region",197,1,0.507614213
"Bloodstream","Acinetobacter spp.","Gentamicin","JOR","Jordan","Eastern Mediterranean Region",296,170,57.432432432
"Bloodstream","Acinetobacter spp.","Imipenem","JOR","Jordan","Eastern Mediterranean Region",308,231,75
"Bloodstream","Acinetobacter spp.","Meropenem","JOR","Jordan","Eastern Mediterranean Region",253,183,72.33201581
"Bloodstream","Acinetobacter spp.","Tigecycline","JOR","Jordan","Eastern Mediterranean Region",12,2,16.666666667
"Bloodstream","Acinetobacter spp.","Amikacin","JPN","Japan","Western Pacific Region",1712,16,0.934579439
"Bloodstream","Acinetobacter spp.","Gentamicin","JPN","Japan","Western Pacific Region",1529,63,4.120340092
"Bloodstream","Acinetobacter spp.","Imipenem","JPN","Japan","Western Pacific Region",1560,12,0.769230769
"Bloodstream","Acinetobacter spp.","Meropenem","JPN","Japan","Western Pacific Region",1754,16,0.912200684
"Bloodstream","Acinetobacter spp.","Minocycline","JPN","Japan","Western Pacific Region",1589,4,0.251730648
"Bloodstream","Acinetobacter spp.","Amikacin","KEN","Kenya","African Region",31,7,22.580645161
"Bloodstream","Acinetobacter spp.","Gentamicin","KEN","Kenya","African Region",83,41,49.397590361
"Bloodstream","Acinetobacter spp.","Meropenem","KEN","Kenya","African Region",72,50,69.444444444
"Bloodstream","Acinetobacter spp.","Amikacin","KHM","Cambodia","Western Pacific Region",315,72,22.857142857
"Bloodstream","Acinetobacter spp.","Gentamicin","KHM","Cambodia","Western Pacific Region",328,103,31.402439024
"Bloodstream","Acinetobacter spp.","Imipenem","KHM","Cambodia","Western Pacific Region",82,35,42.682926829
"Bloodstream","Acinetobacter spp.","Meropenem","KHM","Cambodia","Western Pacific Region",329,101,30.699088146
"Bloodstream","Acinetobacter spp.","Amikacin","KOR","Republic of Korea","Western Pacific Region",394,249,63.197969543
"Bloodstream","Acinetobacter spp.","Colistin","KOR","Republic of Korea","Western Pacific Region",394,4,1.015228426
"Bloodstream","Acinetobacter spp.","Gentamicin","KOR","Republic of Korea","Western Pacific Region",394,269,68.274111675
"Bloodstream","Acinetobacter spp.","Imipenem","KOR","Republic of Korea","Western Pacific Region",394,305,77.411167513
"Bloodstream","Acinetobacter spp.","Meropenem","KOR","Republic of Korea","Western Pacific Region",394,308,78.172588832
"Bloodstream","Acinetobacter spp.","Minocycline","KOR","Republic of Korea","Western Pacific Region",394,28,7.106598985
"Bloodstream","Acinetobacter spp.","Tigecycline","KOR","Republic of Korea","Western Pacific Region",394,8,2.030456853
"Bloodstream","Acinetobacter spp.","Colistin","KWT","Kuwait","Eastern Mediterranean Region",69,2,2.898550725
"Bloodstream","Acinetobacter spp.","Gentamicin","KWT","Kuwait","Eastern Mediterranean Region",109,40,36.697247706
"Bloodstream","Acinetobacter spp.","Imipenem","KWT","Kuwait","Eastern Mediterranean Region",100,56,56
"Bloodstream","Acinetobacter spp.","Meropenem","KWT","Kuwait","Eastern Mediterranean Region",108,58,53.703703704
"Bloodstream","Acinetobacter spp.","Tigecycline","KWT","Kuwait","Eastern Mediterranean Region",39,6,15.384615385
"Bloodstream","Acinetobacter spp.","Amikacin","LAO","Lao People's Democratic Republic","Western Pacific Region",58,14,24.137931034
"Bloodstream","Acinetobacter spp.","Gentamicin","LAO","Lao People's Democratic Republic","Western Pacific Region",54,19,35.185185185
"Bloodstream","Acinetobacter spp.","Meropenem","LAO","Lao People's Democratic Republic","Western Pacific Region",57,12,21.052631579
"Bloodstream","Acinetobacter spp.","Imipenem","LKA","Sri Lanka","South-East Asia Region",55,41,74.545454545
"Bloodstream","Acinetobacter spp.","Meropenem","LKA","Sri Lanka","South-East Asia Region",66,47,71.212121212
